"url","tytul","cena","zdjecie","sprzedajacy","lokalizacja","pozostala_liczba_par","minimalna_cena_dostawy","maksymalna_cena_dostawy","licznik_sprzedazy","stan","płeć","wysokość","materiał zewnętrzny","materiał wkładki","kolor","dostawa z Polski","rozmiar","marka","rodzaj obcasa","wysokość obcasa (cm)","fason","wysokość cholewki","kształt noska","waga (z opakowaniem)","typ","rodzaj"
"http://allegro.pl/botki-zamszowe-na-slupku-zloty-zamek-a920-czarne-i6534861941.html","BOTKI ZAMSZOWE NA SŁUPKU ZŁOTY ZAMEK A920 CZARNE(6534861941)","59.99","https://5.allegroimg.com/s400/0139eb/b67d2d954394a1270ace6f4bf355","HurtowniaModa","Warszawa/ Sprzedaż tylko wysyłkowa","41","10","13","132 osoby kupiły 144 sztuki","nowy",NA,NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","słupek","9.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/5ol3d-botki-sznurowane-worker-a2603-black-36-41-i6535093040.html","5OL3D BOTKI SZNUROWANE WORKER A2603 black 36-41(6535093040)","39.99","https://2.allegroimg.com/s400/062ec5/99562fd54953bf38da5cd9912292","Royal_fashion","Warszawa","242","16","21","124 osoby kupiły 131 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","2.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/trapery-timberki-camel-ocieplane-futro-jakosc-i6533629728.html","TRAPERY TIMBERKI camel ocieplane FUTRO JAKOŚĆ %%(6533629728)","59.99","https://6.allegroimg.com/s400/013dcb/20d32ddd49d98fa6da0569c3be06","HurtowniaModa","Warszawa/ Sprzedaż tylko wysyłkowa","24","10","13","144 osoby kupiły 147 sztuk","nowy",NA,NA,"tworzywo skóropodobne","inny materiał","odcienie brązu i beżu, odcienie żółtego i złota","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","2.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/timberki-czarne-trapery-ocieplane-futro-jakosc-i6533774899.html","TIMBERKI CZARNE TRAPERY ocieplane FUTRO JAKOŚĆ %%(6533774899)","69.99","https://b.allegroimg.com/s400/012adf/966dc1b54e6490b1af3cc43355ab","HurtowniaModa","Warszawa/ Sprzedaż tylko wysyłkowa","28","10","13","143 osoby kupiły 151 sztuk","nowy",NA,NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","2.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/ag-czarne-botki-na-slupku-wsuwane-guma-36-41-i6477712367.html","AG CZARNE BOTKI NA SŁUPKU WSUWANE GUMA 36-41(6477712367)","63.97","https://1.allegroimg.com/s400/017e40/ff7118b94d49a8e75e812e6a1601","Lady-fashion","lublin","2096","14.97","18.49","261 osób kupiło 295 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Vices","słupek","7.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/7cl6-klasyczne-botki-z-guma-hy-19-black-36-41-i6555973458.html","7CL6 KLASYCZNE BOTKI Z GUMĄ HY-19 BLACK 36-41(6555973458)","59.99","https://5.allegroimg.com/s400/065d51/7cbd2ed24214a27f8f8cd287f165","Royal_fashion","Warszawa","172","15","20","49 osób kupiło 57 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","5.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-puma-vikky-sneakersy-koturny-357246-03-i6568294392.html","Buty PUMA VIKKY Sneakersy Koturny (357246 03)(6568294392)","199.99","https://6.allegroimg.com/s400/06fd89/2b632ce74b16bb1335f649a58526",NA,"Elbląg","50","10","12","1 osoba kupiła 1 sztukę","nowy","produkt damski","wysokie","skóra naturalna","inny materiał","czerń","tak","35,5, 36, 37, 37,5, 38, 38,5, 39, 40, 40,5, 41, 42, 42,5",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/5cl3-royal-botki-rolingstonki-p09-black-36-41-i6523731239.html","5CL3 ROYAL BOTKI ROLINGSTONKI P09 black 36-41(6523731239)","34.00","https://6.allegroimg.com/s400/066e5c/21b06ef1488a95a5f45651d365b6","Royal_fashion","Warszawa","85","15","20","131 osób kupiło 147 par","nowy","produkt damski",NA,"tworzywo skóropodobne","inny materiał","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","2.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/5cl5-modne-botki-z-materialu-hq57-black-36-41-i6555968154.html","5CL5 Modne botki z materiału HQ57BLACK 36-41(6555968154)","32.99","https://0.allegroimg.com/s400/066764/b2c9c83e424eac8d639c989599c0","Royal_fashion","Warszawa","64","15","20","51 osób kupiło 55 par","nowy","produkt damski",NA,"tworzywo skóropodobne","tworzywo sztuczne","czerń","tak","36, 37, 38, 39, 40, 41","Inna marka","płaski obcas","3.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-adidas-switch-vs-aw4823-granatowe-i6476913858.html","Buty Adidas Switch VS AW4823 Granatowe(6476913858)","101.90","https://1.allegroimg.com/s400/0104f0/eee65fff457fb402c029e0d29561","eoryginalne_hurt","Internet","92","8.6","12","279 osób kupiło 301 par","nowy",NA,"niskie","inny materiał","inny materiał","inny kolor","tak","35,5, 36, 36,5, 37, 38, 38,5, 39, 40",NA,NA,NA,NA,NA,NA,NA,NA,NA
