"url","tytul","cena","zdjecie","sprzedajacy","lokalizacja","pozostala_liczba_par","minimalna_cena_dostawy","maksymalna_cena_dostawy","licznik_sprzedazy","stan","marka","materiał zewnętrzny","materiał wkładki","kolor","rozmiar","płeć","wysokość","dostawa z Polski","rodzaj obcasa","wysokość obcasa (cm)","fason","wysokość cholewki","kształt noska","waga (z opakowaniem)","typ","rodzaj"
"http://allegro.pl/745-sliczne-botki-slupek-platforma-klamerki-lity-i6557129246.html","745 ŚLICZNE BOTKI SŁUPEK PLATFORMA KLAMERKI LITY(6557129246)","79.98","https://2.allegroimg.com/s400/0637dc/068263434952978338b146983a92","Lady-fashion","lublin","15","14.97","18.49","28 osób kupiło 29 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","słupek","11.00",NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-zimowe-puma-rebound-mid-ocieplane-trapery-i6524204919.html","BUTY ZIMOWE PUMA REBOUND MID - OCIEPLANE TRAPERY!!(6524204919)","149.00","https://8.allegroimg.com/s400/01884c/7c1f214347f0ae0f0c0316567518","OUTLET-AS","Zambrów","23","5.00","5.00","211 osób kupiło 217 par","nowy","Puma","inny materiał","inny materiał","odcienie brązu i beżu","39, 40, 40,5, 41, 42, 42,5, 43, 44, 44,5, 45, 46, 47","produkt męski",NA,"tak",NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-nike-air-max-thea-tavas-oreo-wysylka-gratis-i6540547426.html","Buty Nike Air Max THEA TAVAS Oreo WYSYŁKA GRATIS(6540547426)","189.99","https://f.allegroimg.com/s400/017f35/19c4d30d4b1e87b8e452b895326f","stylowe-ciuchy","Sprzedaż wysyłkowa","365",NA,NA,"80 osób kupiło 107 sztuk","nowy",NA,"inny materiał","inny materiał","czerń","40, 41, 42, 43, 44, 45",NA,"niskie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/5g1-klasyczne-botki-z-guma-8h8559-black-36-41-i6557688411.html","5G1 KLASYCZNE BOTKI Z GUMĄ 8H8559 BLACK 36-41(6557688411)","52.99","https://a.allegroimg.com/s400/06dbe7/37134e7c4736afb9ac57eb55590a","Royal_fashion","Warszawa","10","15.00","20.00","33 osoby kupiły 36 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","4.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/buty-adidas-switch-vs-aw4823-granatowe-i6476913858.html","Buty Adidas Switch VS AW4823 Granatowe(6476913858)","101.90","https://1.allegroimg.com/s400/0104f0/eee65fff457fb402c029e0d29561","eoryginalne_hurt","Internet","107","12.00","8.60","291 osób kupiło 318 par","nowy",NA,"inny materiał","inny materiał","inny kolor","35,5, 36, 36,5, 37, 38, 38,5, 39, 40",NA,"niskie","tak",NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/czarne-klasyczne-timberki-trapery-stylowe-botki-i6513205063.html","CZARNE KLASYCZNE TIMBERKI TRAPERY STYLOWE BOTKI(6513205063)","64.99","https://9.allegroimg.com/s400/013aeb/1f96992344c38fecc7779f9ef9e9","e-modi","Internet","250","14.99","8.60","159 osób kupiło 182 pary","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","3.50",NA,NA,NA,"3.00 [kg]",NA,NA
"http://allegro.pl/7ed3-fantazyjne-kozaki-z-lycra-r-157-black-36-41-i6559289424.html","7ED3 FANTAZYJNE KOZAKI Z LYCRĄ R-157 BLACK 36-41(6559289424)","59.00","https://6.allegroimg.com/s400/06b8bd/3ca3d4474ffeb10e347aaeb2fc26","Royal_fashion","Warszawa","95","15.00","20.00","23 osoby kupiły 25 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","3.00","klasyczne","powyżej kolana","okrągły",NA,NA,NA
"http://allegro.pl/sneakers-koturn-fredzle-koturny-bl-10-szare-i6480886186.html","%%% SNEAKERS Koturn Frędzle KOTURNY BL-10 SZARE(6480886186)","65.00","https://c.allegroimg.com/s400/017579/1545b67b4854bf4e3d8050c3e20c","FASHION__QUEEN","Przemyśl","37","13.00","19.00","228 osób kupiło 240 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","biel, odcienie szarości i srebra, wielokolorowy, inny kolor","36, 37, 38, 39, 40","produkt damski",NA,"tak","koturn","8.00",NA,NA,NA,"2.00 [kg]",NA,NA
"http://allegro.pl/buty-nike-court-borough-mid-r-41-48-5-force-max-i6528506434.html","Buty NIKE COURT BOROUGH MID r.41-48,5 FORCE MAX(6528506434)","219.99","https://9.allegroimg.com/s400/0130c4/5a50b78a4ed1aa0b275afff45739","ProSport24pl","Ostróda","42","11.99","8.60","165 osób kupiło 174 pary","nowy",NA,"skóra naturalna","tworzywo sztuczne","biel, czerń","41, 42, 42,5, 43, 44, 44,5, 45, 45,5, 46","produkt męski","niskie","tak",NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/mdp1-azurowe-botki-b13006-black-r36-41-i6472419239.html","MDP1 AZUROWE BOTKI B13006 BLACK R36-41(6472419239)","22.99","https://4.allegroimg.com/s400/0103d3/6cb3588f468caa399ab26d455374","Royal_fashion","Warszawa","83","15.00","20.00","215 osób kupiło 232 pary","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","4.50",NA,NA,NA,NA,NA,NA
"http://allegro.pl/kalosze-meliski-czarne-botki-guma-lakierowane-hit-i6544434422.html","KALOSZE MELISKI czarne BOTKI GUMA LakieRowane HIT(6544434422)","39.00","https://0.allegroimg.com/s400/01ec4e/0da04c6c471f93845091f027cb50","HurtowniaModa","Warszawa/ Sprzedaż tylko wysyłkowa","204","10.00","13.00","77 osób kupiło 96 sztuk","nowy","Inna marka","guma","inny materiał","czerń","36, 37, 38, 39, 40, 41",NA,NA,"tak",NA,NA,NA,NA,NA,NA,NA,NA
"http://allegro.pl/5cl3-royal-botki-rolingstonki-p09-black-36-41-i6523731239.html","5CL3 ROYAL BOTKI ROLINGSTONKI P09 black 36-41(6523731239)","34.00","https://6.allegroimg.com/s400/066e5c/21b06ef1488a95a5f45651d365b6","Royal_fashion","Warszawa","108","15.00","20.00","110 osób kupiło 126 par","nowy","Inna marka","tworzywo skóropodobne","inny materiał","czerń","36, 37, 38, 39, 40, 41","produkt damski",NA,"tak","płaski obcas","2.50",NA,NA,NA,NA,NA,NA
